product_id,product_name,category_id,description,price
1,Eco Essentials 1,1331,Quality product in category 1331. Durable design for everyday use. Popular choice among customers.,121.24
2,Pro Device 2,1283,Quality product in category 1283. Durable design for everyday use. Popular choice among customers.,117.82
3,Smart Item 3,913,Quality product in category 913. Durable design for everyday use. Popular choice among customers.,208.15
4,Prime Gadget 4,1600,Quality product in category 1600. Durable design for everyday use. Popular choice among customers.,89.34
5,Eco Widget 5,79,Quality product in category 79. Durable design for everyday use. Popular choice among customers.,39.63
6,Basic Tool 6,834,Quality product in category 834. Durable design for everyday use. Popular choice among customers.,162.83
7,Eco Gadget 7,981,Quality product in category 981. Durable design for everyday use. Popular choice among customers.,234.11
8,Eco Device 8,1454,Quality product in category 1454. Durable design for everyday use. Popular choice among customers.,48.08
9,Smart Widget 9,86,Quality product in category 86. Durable design for everyday use. Popular choice among customers.,289.33
10,Elite Gear 10,866,Quality product in category 866. Durable design for everyday use. Popular choice among customers.,222.06
11,Classic Item 11,496,Quality product in category 496. Durable design for everyday use. Popular choice among customers.,289.7
12,Smart Pack 12,74,Quality product in category 74. Durable design for everyday use. Popular choice among customers.,138.26
13,Pro Unit 13,1048,Quality product in category 1048. Durable design for everyday use. Popular choice among customers.,269.28
14,Ultra Essentials 14,263,Quality product in category 263. Durable design for everyday use. Popular choice among customers.,68.09
15,Pro Pack 15,1440,Quality product in category 1440. Durable design for everyday use. Popular choice among customers.,217.32
16,Ultra Edition 16,1404,Quality product in category 1404. Durable design for everyday use. Popular choice among customers.,146.73
17,Elite Gear 17,94,Quality product in category 94. Durable design for everyday use. Popular choice among customers.,63.79
18,Pro Essentials 18,632,Quality product in category 632. Durable design for everyday use. Popular choice among customers.,235.2
19,Ultra Bundle 19,716,Quality product in category 716. Durable design for everyday use. Popular choice among customers.,15.17
20,Classic Accessory 20,793,Quality product in category 793. Durable design for everyday use. Popular choice among customers.,277.04
21,Smart Bundle 21,1027,Quality product in category 1027. Durable design for everyday use. Popular choice among customers.,240.99
22,Basic Collection 22,321,Quality product in category 321. Durable design for everyday use. Popular choice among customers.,44.01
23,Pro Collection 23,880,Quality product in category 880. Durable design for everyday use. Popular choice among customers.,208.8
24,Eco Pack 24,498,Quality product in category 498. Durable design for everyday use. Popular choice among customers.,68.14
25,Basic Gear 25,1519,Quality product in category 1519. Durable design for everyday use. Popular choice among customers.,28.61
26,Mini Set 26,428,Quality product in category 428. Durable design for everyday use. Popular choice among customers.,88.0
27,Elite Accessory 27,802,Quality product in category 802. Durable design for everyday use. Popular choice among customers.,99.99
28,Pro Accessory 28,970,Quality product in category 970. Durable design for everyday use. Popular choice among customers.,144.72
29,Ultra Collection 29,288,Quality product in category 288. Durable design for everyday use. Popular choice among customers.,292.65
30,Mini Item 30,1173,Quality product in category 1173. Durable design for everyday use. Popular choice among customers.,211.53
31,Pro Gear 31,1286,Quality product in category 1286. Durable design for everyday use. Popular choice among customers.,236.15
32,Elite Item 32,618,Quality product in category 618. Durable design for everyday use. Popular choice among customers.,149.34
33,Elite Pack 33,1522,Quality product in category 1522. Durable design for everyday use. Popular choice among customers.,80.18
34,Basic Collection 34,194,Quality product in category 194. Durable design for everyday use. Popular choice among customers.,51.31
35,Mini Device 35,849,Quality product in category 849. Durable design for everyday use. Popular choice among customers.,70.99
36,Pro Unit 36,330,Quality product in category 330. Durable design for everyday use. Popular choice among customers.,234.97
37,Ultra Gear 37,947,Quality product in category 947. Durable design for everyday use. Popular choice among customers.,30.99
38,Pro Widget 38,28,Quality product in category 28. Durable design for everyday use. Popular choice among customers.,265.92
39,Pro Essentials 39,472,Quality product in category 472. Durable design for everyday use. Popular choice among customers.,32.78
40,Mini Tool 40,433,Quality product in category 433. Durable design for everyday use. Popular choice among customers.,48.48
41,Max Unit 41,193,Quality product in category 193. Durable design for everyday use. Popular choice among customers.,209.93
42,Ultra Edition 42,574,Quality product in category 574. Durable design for everyday use. Popular choice among customers.,68.03
43,Max Gear 43,421,Quality product in category 421. Durable design for everyday use. Popular choice among customers.,40.31
44,Smart Item 44,1109,Quality product in category 1109. Durable design for everyday use. Popular choice among customers.,19.15
45,Mini Pack 45,1693,Quality product in category 1693. Durable design for everyday use. Popular choice among customers.,25.06
46,Basic Gadget 46,615,Quality product in category 615. Durable design for everyday use. Popular choice among customers.,281.2
47,Elite Gadget 47,1514,Quality product in category 1514. Durable design for everyday use. Popular choice among customers.,191.33
48,Eco Collection 48,654,Quality product in category 654. Durable design for everyday use. Popular choice among customers.,187.54
49,Max Item 49,486,Quality product in category 486. Durable design for everyday use. Popular choice among customers.,269.49
50,Eco Device 50,1504,Quality product in category 1504. Durable design for everyday use. Popular choice among customers.,247.01
51,Prime Edition 51,60,Quality product in category 60. Durable design for everyday use. Popular choice among customers.,196.63
52,Basic Gear 52,1170,Quality product in category 1170. Durable design for everyday use. Popular choice among customers.,222.15
53,Ultra Device 53,818,Quality product in category 818. Durable design for everyday use. Popular choice among customers.,182.04
